Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-108.08147831050228,5.511804346811872,-140.03958,-100.92079,29.200913242009133,12.0,84.0,-0.016303321838378907,-0.603619,0.56539184,-7.24812451171875,-14.316962,-0.21646795,7.248124122619629,56.10262680053711,-0.10083723068237305,-33.50846862792969,0.7436313033103943,0.0015023477608337998,80.0,77,0.9862975478172302,0.0003,-90.299072265625,7.383647918701172,0.508999994180536,32000,27,1185
2,-108.53794218898386,5.81982084997326,-146.31131,-101.002815,30.366571699905034,11.0,90.0,-1.58619287109375,-7.9838886,7.6133747,-4.13935205078125,-17.296022,5.986021,4.1393513679504395,29.67966651916504,-0.12042665481567383,-20.291086196899414,0.73377925157547,0.0024869272019714117,80.0,77,0.9811679720878601,0.00029699999999999996,-90.19221496582031,7.454071521759033,0.504010011618452,64000,54,1173
3,-109.16206431795386,6.4134986787366275,-156.65608,-101.28764,32.08726178535607,11.0,92.0,-5.70085400390625,-9.385278,4.159459,-1.97917578125,-10.958843,1.5378708,1.9791756868362427,5.602715015411377,-0.04116535186767578,-4.3027238845825195,0.7238293290138245,0.002044465858489275,80.0,77,0.9848441481590271,0.000294,-90.01819610595703,7.552356719970703,0.4990199874853069,96000,81,1176
4,-110.13471148720683,7.1874860943594046,-153.26546,-100.73836,34.053304904051174,12.0,94.0,-7.6350322265625,-10.375566,-1.9095737,-0.8775626220703125,-6.349909,0.9335771,0.8775626420974731,1.3391146659851074,-0.015512228012084961,-0.9613829255104065,0.7137795686721802,0.0017092098714783788,80.0,77,0.9904135465621948,0.00029099999999999997,-89.83686828613281,7.787412643432617,0.49403001303756583,128000,108,1174
5,-110.23195101351351,7.400706172934317,-154.25728,-100.877106,34.56540540540541,12.0,93.0,-8.472333984375,-10.678177,-4.5316505,-0.36561212158203127,-4.3243837,1.1199483,0.36561211943626404,0.3901020288467407,-0.008177727460861206,-0.20124877989292145,0.7036275267601013,0.001606101868674159,80.0,77,0.9940451383590698,0.00028799999999999995,-89.70518493652344,7.917994976043701,0.48904000119877045,160000,136,1169
6,-111.19613439306359,8.035735474556889,-156.59908,-101.09006,36.93410404624277,13.0,88.0,-8.86654296875,-10.727275,-6.439669,-0.10035599517822266,-2.5948215,1.172272,0.10035599768161774,0.1690261960029602,-0.005074732005596161,-0.03263054043054581,0.6933715343475342,0.0014249031664803624,80.0,77,0.9975281953811646,0.000285,-89.5348892211914,8.104866027832031,0.4840500140318596,192000,163,1169
7,-112.02489769345237,8.691324579939991,-145.47194,-101.33681,38.07380952380952,12.0,100.0,-8.950791015625,-10.606489,-6.632358,-0.033667057037353516,-2.345066,1.1258619,0.03366705775260925,0.13928554952144623,-0.004461677744984627,-0.011238048784434795,0.6830090284347534,0.0013747004559263587,80.0,77,0.9971665143966675,0.00028199999999999997,-89.42242431640625,8.208937644958496,0.4790599994846701,224000,190,1174
8,-113.34749558161954,9.351332593405797,-163.17519,-101.42341,41.088688946015424,12.0,118.0,-9.01265625,-10.480602,-7.0283294,0.02499765396118164,-1.7434121,1.1342994,-0.024997655302286148,0.12497682124376297,-0.004381515085697174,-0.004650496412068605,0.672538161277771,0.0013524211244657636,80.0,77,0.9990572333335876,0.00027899999999999995,-89.28922271728516,8.355613708496094,0.4740699962916369,256000,218,1180
9,-114.38270874833998,10.09572789745982,-185.26141,-101.564026,42.45418326693227,12.0,102.0,-8.987568359375,-10.422106,-7.3495493,0.02021752166748047,-1.5319624,1.0656339,-0.020217521116137505,0.1237400695681572,-0.004560558125376701,-0.004687938839197159,0.6619567275047302,0.0013840320752933621,80.0,77,0.9991354942321777,0.000276,-89.191162109375,8.482579231262207,0.46907999085743085,288000,245,1184
10,-116.02669552669553,10.956258650905477,-157.71165,-101.45038,46.16017316017316,12.0,103.0,-9.001896484375,-10.5292845,-7.1322002,0.059206382751464844,-1.5328255,1.1056063,-0.05920637398958206,0.1178562119603157,-0.004286728799343109,-0.006963660009205341,0.6512617468833923,0.0012728451984003186,80.0,77,1.0008344650268555,0.00027299999999999997,-89.0572509765625,8.636874198913574,0.46409000434407544,320000,272,1188
